"Strategy","Date Opened","Time Opened","Opening Price","Legs","Initial Premium","No. of Contracts","P/L","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-01-30","14:30:07.4878557",6936,"1 Jan 30 6910 P STO 2.82",2.82,1,280.825,6939.03,"2026-01-30","16:15:00.8129293",0,"Expired"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-01-30","14:30:07.4878557",6936,"1 Jan 30 6865 P BTO 0.32",-0.32,1,-33.175,6939.03,"2026-01-30","16:15:00.7581046",0,"Expired"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-01-29","14:30:14.753277",6943.98,"1 Jan 29 6930 P STO 2.07",2.07,1,-224.785,6935.7,"2026-01-29","14:31:01.6635274",-4.3,"Stop Loss"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-01-29","14:30:14.753277",6943.98,"1 Jan 29 6885 P BTO 0.12",-0.12,1,11.215,6935.7,"2026-01-29","14:31:01.38801",0.25,"OTO"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-01-28","13:00:09.3743981",6971.71,"1 Jan 28 6920 P STO 2.36",2.36,1,234.825,6978.03,"2026-01-28","16:15:01.0217584",0,"Expired"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-01-28","13:00:09.3743981",6971.71,"1 Jan 28 6875 P BTO 0.61",-0.61,1,-62.175,6978.03,"2026-01-28","16:15:01.0639657",0,"Expired"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-01-27","14:30:48.9566812",6985.2,"1 Jan 27 6940 P BTO 0.17",-0.17,1,-18.175,6978.6,"2026-01-27","16:15:01.0877984",0,"Expired"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-01-27","14:30:48.9566812",6985.2,"1 Jan 27 6985 P STO 2.72",2.72,1,-329.785,6979.96,"2026-01-27","15:55:01.6537755",-6,"Stop Loss"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-01-26","14:30:09.0974943",6961.77,"1 Jan 26 6915 P BTO 0.27",-0.27,1,-28.175,6950.23,"2026-01-26","16:15:01.2207685",0,"Expired"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-01-26","14:30:09.0974943",6961.77,"1 Jan 26 6960 P STO 3.02",3.02,1,-319.785,6953.33,"2026-01-26","15:55:01.3212294",-6.2,"Stop Loss"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-01-23","14:30:08.8705634",6919.08,"1 Jan 23 6865 P BTO 0.27",-0.27,1,-8.785,6911.26,"2026-01-23","15:12:00.5670165",0.2,"OTO"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-01-23","14:30:08.8705634",6919.08,"1 Jan 23 6910 P STO 2.82",2.82,1,-319.785,6911.26,"2026-01-23","15:12:01.0344535",-6,"Stop Loss"
